Security,Symbol,Shared GICS Sector,Ticks,Shared GICS Sub-Ind.,Ticks,GICS Sector,GICS Sub-Industry,Date first added,Headquarters Location,SEC filings,CIK,Founded
Interpublic Group,IPG,,,,,Communication Services,Advertising,1992-10-01,"New York City, New York",reports,51644,1961 (1930)
Omnicom Group,OMC,,,Advertising,,Communication Services,Advertising,,"New York City, New York",reports,29989,1986
Lumen,LUMN,,,Alternative Carriers,,Communication Services,Alternative Carriers,1999-03-25,"Monroe, Louisiana",reports,18926,1983 (1877)
Warner Bros. Discovery,WBD,,,Broadcasting,,Communication Services,Broadcasting,2022-04-11,"New York City, New York",reports,1437107,2022
Charter Communications,CHTR,,,,,Communication Services,Cable & Satellite,2016-09-08,"Stamford, Connecticut",reports,1091667,1993
Comcast,CMCSA,,,,,Communication Services,Cable & Satellite,2002-11-19,"Philadelphia, Pennsylvania",reports,1166691,1963
Dish,DISH,,,Cable & Satellite,,Communication Services,Cable & Satellite,2017-03-13,"Meridian, Colorado",reports,1001082,1980
AT&T,T,,,,,Communication Services,Integrated Telecommunication Services,1983-11-30 (1957-03-04),"Dallas, Texas",reports,732717,1983 (1885)
Verizon,VZ,,,Integrated Telecommunication Services,,Communication Services,Integrated Telecommunication Services,1983-11-30,"New York City, New York",reports,732712,1983 (1877)
Activision Blizzard,ATVI,,,,,Communication Services,Interactive Home Entertainment,2015-08-31,"Santa Monica, California",reports,718877,2008
Electronic Arts,EA,,,,,Communication Services,Interactive Home Entertainment,2002-07-22,"Redwood City, California",reports,712515,1982
Take-Two Interactive,TTWO,,,Interactive Home Entertainment,,Communication Services,Interactive Home Entertainment,2018-03-19,"New York City, New York",reports,946581,1993
Alphabet (Class A),GOOGL,,,,,Communication Services,Interactive Media & Services,2014-04-03,"Mountain View, California",reports,1652044,1998
Alphabet (Class C),GOOG,,,,,Communication Services,Interactive Media & Services,2006-04-03,"Mountain View, California",reports,1652044,1998
Match Group,MTCH,,,,,Communication Services,Interactive Media & Services,2021-09-20,"Dallas, Texas",reports,891103,1986
Meta,FB,,,,,Communication Services,Interactive Media & Services,2013-12-23,"Menlo Park, California",reports,1326801,2004
Twitter,TWTR,,,Interactive Media & Services,,Communication Services,Interactive Media & Services,2018-06-07,"San Francisco, California",reports,1418091,2006
Disney,DIS,,,,,Communication Services,Movies & Entertainment,1976-06-30,"Burbank, California",reports,1744489,1923
Fox Corporation (Class A),FOXA,,,,,Communication Services,Movies & Entertainment,2013-07-01,"New York City, New York",reports,1754301,2019
Fox Corporation (Class B),FOX,,,,,Communication Services,Movies & Entertainment,2015-09-18,"New York City, New York",reports,1754301,2019
Live Nation Entertainment,LYV,,,,,Communication Services,Movies & Entertainment,2019-12-23,"Beverly Hills, California",reports,1335258,2010
Netflix,NFLX,,,,,Communication Services,Movies & Entertainment,2010-12-20,"Los Gatos, California",reports,1065280,1997
Paramount,PARA,,,Movies & Entertainment,,Communication Services,Movies & Entertainment,,"New York City, New York",reports,813828,2019 (1952)
News Corp (Class A),NWSA,,,,,Communication Services,Publishing,2013-08-01,"New York City, New York",reports,1564708,2013 (1980)
News Corp (Class B),NWS,,,Publishing,,Communication Services,Publishing,2015-09-18,"New York City, New York",reports,1564708,2013 (1980)
T-Mobile,TMUS,Communication Services,,Wireless Telecommunication Services,,Communication Services,Wireless Telecommunication Services,2019-07-15,"Bellevue, Washington",reports,1283699,1994
Ross,ROST,,,,,Consumer Discretionary,Apparel Retail,2009-12-21,"Dublin, California",reports,745732,1982
TJX Companies,TJX,,,Apparel Retail,,Consumer Discretionary,Apparel Retail,1985-09-30,"Framingham, Massachusetts",reports,109198,1987
Nike,NKE,,,,,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30,"Washington County, Oregon",reports,320187,1964
PVH,PVH,,,,,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2013-02-15,"New York City, New York",reports,78239,1881
Ralph Lauren,RL,,,,,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2007-02-02,"New York City, New York",reports,1037038,1967
Tapestry,TPR,,,,,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,"New York City, New York",reports,1116132,2017
Under Armour (Class A),UAA,,,,,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2014-05-01,"Baltimore, Maryland",reports,1336917,1996
Under Armour (Class C),UA,,,,,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2016-04-08,"Baltimore, Maryland",reports,1336917,1996
VF Corporation,VFC,,,"Apparel, Accessories & Luxury Goods",,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30,"Denver, Colorado",reports,103379,1899
Aptiv,APTV,,,,,Consumer Discretionary,Auto Parts & Equipment,2012-12-24,"Dublin, Ireland",reports,1521332,1994
BorgWarner,BWA,,,Auto Parts & Equipment,,Consumer Discretionary,Auto Parts & Equipment,2011-12-19,"Auburn Hills, Michigan",reports,908255,1880
Ford,F,,,,,Consumer Discretionary,Automobile Manufacturers,1957-03-04,"Dearborn, Michigan",reports,37996,1903
GM,GM,,,,,Consumer Discretionary,Automobile Manufacturers,2013-06-06,"Detroit, Michigan",reports,1467858,1908
Tesla,TSLA,,,Automobile Manufacturers,,Consumer Discretionary,Automobile Manufacturers,2020-12-21,"Palo Alto, California",reports,1318605,2003
Advance Auto Parts,AAP,,,Automotive Retail,,Consumer Discretionary,Automotive Retail,2015-07-09,"Raleigh, North Carolina",reports,1158449,1932
Caesars Entertainment,CZR,,,,,Consumer Discretionary,Casinos & Gaming,2021-03-22,"Reno, Nevada",reports,1590895,1973
Las Vegas Sands,LVS,,,,,Consumer Discretionary,Casinos & Gaming,2019-10-03,"Las Vegas, Nevada",reports,1300514,1988
MGM Resorts,MGM,,,,,Consumer Discretionary,Casinos & Gaming,2017-07-26,"Paradise, Nevada",reports,789570,1986
Penn National Gaming,PENN,,,,,Consumer Discretionary,Casinos & Gaming,2021-03-22,"Wyomissing, Pennsylvania",reports,921738,1972
Wynn Resorts,WYNN,,,Casinos & Gaming,,Consumer Discretionary,Casinos & Gaming,2008-11-14,"Paradise, Nevada",reports,1174922,2002
Best Buy,BBY,,,Computer & Electronics Retail,,Consumer Discretionary,Computer & Electronics Retail,1999-06-29,"Richfield, Minnesota",reports,764478,1966
Garmin,GRMN,,,Consumer Electronics,,Consumer Discretionary,Consumer Electronics,2012-12-12,"Schaffhausen, Switzerland",reports,1121788,1989
LKQ Corporation,LKQ,,,,,Consumer Discretionary,Distributors,2016-05-23,"Chicago, Illinois",reports,1065696,1998
Pool Corporation,POOL,,,Distributors,,Consumer Discretionary,Distributors,2020-10-07,"Covington, Louisiana",reports,945841,1993
Dollar General,DG,,,,,Consumer Discretionary,General Merchandise Stores,2012-12-03,"Goodlettsville, Tennessee",reports,29534,1939
Dollar Tree,DLTR,,,,,Consumer Discretionary,General Merchandise Stores,2011-12-19,"Chesapeake, Virginia",reports,935703,1986
Target,TGT,,,General Merchandise Stores,,Consumer Discretionary,General Merchandise Stores,1976-12-31,"Minneapolis, Minnesota",reports,27419,1902
Mohawk Industries,MHK,,,Home Furnishings,,Consumer Discretionary,Home Furnishings,2013-12-23,"Calhoun, Georgia",reports,851968,1878
Home Depot,HD,,,,,Consumer Discretionary,Home Improvement Retail,1988-03-31,"Atlanta, Georgia",reports,354950,1978
Lowe's,LOW,,,Home Improvement Retail,,Consumer Discretionary,Home Improvement Retail,1984-02-29,"Mooresville, North Carolina",reports,60667,1904/1946/1959
D.R. Horton,DHI,,,,,Consumer Discretionary,Homebuilding,2005-06-22,"Arlington, Texas",reports,882184,1978
Lennar,LEN,,,,,Consumer Discretionary,Homebuilding,2005-10-04,"Miami, Florida",reports,920760,1954
NVR,NVR,,,,,Consumer Discretionary,Homebuilding,2019-09-26,"Reston, Virginia",reports,906163,1980
PulteGroup,PHM,,,Homebuilding,,Consumer Discretionary,Homebuilding,1984-04-30,"Atlanta, Georgia",reports,822416,1956
Carnival,CCL,,,,,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22,"Miami, Florida",reports,815097,1972
Hilton,HLT,,,,,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19,"Tysons Corner, Virginia",reports,1585689,1919
Marriott International,MAR,,,,,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,"Bethesda, Maryland",reports,1048286,1927
Norwegian Cruise Line Holdings,NCLH,,,,,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13,"Miami, Florida",reports,1513761,2011 (1966)
Royal Caribbean Group,RCL,,,"Hotels, Resorts & Cruise Lines",,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2014-12-05,"Miami, Florida",reports,884887,1997
Whirlpool,WHR,,,Household Appliances,,Consumer Discretionary,Household Appliances,,"Benton Harbor, Michigan",reports,106640,1911
Newell Brands,NWL,,,Housewares & Specialties,,Consumer Discretionary,Housewares & Specialties,1989-04-30,"Atlanta, Georgia",reports,814453,1903
